onset time,description
next pic 1,next pic 1
0:16,pface 1
0:17,pcaption
0:18,pinterface
0:18,pface 1
0:22,pdetail (person 2)
0:28,pcaption
0:30,pface 1
0:31,pface 2
0:32,pdetail (person 3)
0:33,pface 1
0:33,pdetail (person 4)
0:39,pdetail (person 1)
0:41,pdetail (person 2)
0:43,pdetail (person 3)
0:44,pdetail (person 2)
0:45,pdetail (person 1)
0:47,pcaption
0:50,pdetail (person 1)
0:52,pface 1
0:53,pinterface
0:54,pface 1
0:55,pface 5
0:55:30,pface 2
0:56,pface 1
0:57,pdetail (person 3)
0:58,pface 1
0:59,pinterface
1:00,pface 1
1:09,pinterface
1:17,pface 1
1:17:30,pdetail (person 1)
1:18,pface 4
1:18:30,pdetail (person 3)
1:19,pface 1
1:19:30,pinterface
1:21:30,pclick off
next pic 2,next pic 2
1:23,pface 1
1:24,pcaption
1:25,pdetail (person 1)
1:25:30,pdetail (person 2)
1:26,pdetail
1:27,pdetail (person 2)
1:27:30,pdetail (person 1)
1:29,pdetail (person 1)
1:30,pcaption
2:03,pbackground
2:04:30,pdetail (person 1)
2:05,pdetail (person 2)
2:06,pdetail (person 1)
2:07,pdetail
2:07:30,pbackground
2:08,pdetail (person 1)
2:08:30,pinterface
2:09,pcaption
2:10,pdetail (person 2)
2:10:30,pinterface
2:12,pdetail (person 1)
2:13:30,pdetail
2:14,pinterface
2:15,pclick off
next pic 3,next pic 3
2:15:30,pdetail (person 1)
2:16,pdetail (person 2)
2:17,pdetail (person 2)
2:18,pdetail (person 1)
2:19,pface 1
2:19:30,pdetail (person 2)
2:20,pdetail (person 2)
2:21,pcaption
2:33,pdetail (person 1)
2:34,pdetail (person 1)
2:35,pdetail (person 1)
2:36,pdetail (person 1)
2:38,pdetail (person 2)
2:39,pdetail (person 2)
2:40,pdetail (person 2)
2:41,pdetail (person 1)
2:43,pdetail (person 1)
2:44:30,pcaption
2:45,pdetail (person 2)
2:46,pdetail (person 1)
2:46:30,pcaption
2:48,pdetail (person 1)
2:50,pinterface
2:52,pdetail (person 1)
2:53,pdetail (person 1)
2:54,pdetail (person 2)
2:54,pdetail (person 2)
2:55,pdetail (person 1)
2:55:30,pdetail (person 1)
2:56,pdetail (person 1)
2:56:30,pbackground
2:57,pinterface
2:58,pdetail (person 1)
2:59,pinterface
3:00,pclick off
next pic 4,
3:00:30,uface 1
3:01,udetail
3:01:30,udetail
3:02,uface 2
3:03,udetail
3:04,udetail
3:04:30,udetail
3:05,udetail
3:05:30,udetail
3:06,udetail
3:06:30,udetail
3:07,udetail
3:08,udetail
8:09,uface 1
3:10,uinterface
3:11,uface 3
3:12,udetail
3:13,uinterface
3:17,uclick out
next pic 5,next pic 5
3:29,pface 1
3:30,pdetail (person 2)
3:31,pdetail (person 2)
3:31,pdetail (person 1)
3:32,pdetail (person 1)
3:33,pdetail (person 1)
3:34,pcaption
3:43,pface 1
3:44,pcaption
3:46,pdetail (person 2)
3:48,pface 1
3:49,pdetail (person 1)
3:50,pface 1
3:51,pdetail (person 2)
3:51:30,pdetail (person 2)
3:52,pface 1
3:52:30,pdetail (person 1)
3:53,pdetail (person 2)
3:53:30,pdetail (person 1)
3:54,pdetail (person 1)
3:55,pface 1
3:56,pbackground
3:57,pinterface
3:58,pdetail (person 2)
3:58:30,pface 1
3:59,pdetail (person 2)
4:00,pcaption
4:01,pdetail (person 1)
4:01:30,pdetail (person 1)
4:02,pdetail (person 2)
4:03,pclick out
next pic 6,next pic 6 (didn't load)
next pic 7,next pic 7
4:09,pface 1
4:09:30,pface 2
4:10,pface 1
4:11,pdetail (person 1)
4:13,pdetail (person 1)
4:14,pdetail (person 1)
4:15,pcaption
4:22,pdetail (person 2)
4:26,pface 2
4:27,pdetail (person 2)
4:28,pface 1
4:28,pdetail (person 1)
4:29,pface 3
4:30,pface 2
4:30:30,pface 1
4:31,pcaption
4:31:30,pface 1
4:32,pface 2
4:33,pdetail (person 2)
4:34,pdetail (person 1)
4:36,pbackground
4:38,pface 2
4:39,pinterface
4:44,pclick out
next pic 8,next pic 8
4:45,uface 1
4:45:30,udetail
4:46,uface 1
4:47,ucaption
4:49,uface 1
4:50,ubackground
4:51,uface 1
4:52,udetail
4:53,ucaption
4:54,uface 1
4:55,uinterface
4:57,udetail
4:58,uface 1
4:59,udetail
5:00,uinterface
5:01,uclick out
next pic 9,next pic 9
5:02,pface 1
5:02:30,pface 2
5:03,pcaption
5:07,pface 3
5:08,pcaption
5:15,pdetail (person 4)
5:15:30,pface 2
5:16,pface 1
5:16:30,pdetail (person 1)
5:18,pdetail (person 4)
5:19,pface 3
5:20,pinterface
5:20:30,pface 2
5:21,pface 3
5:23,pinterface
5:24,pcaption
5:25,pclick out
next pic 10,next pic 10
5:27,ucaption
5:29,udetail
5:30,ucaption
5:31,udetail
5:32,udetail
5:33,udetail
5:34,uinterface
5:36,ucaption
5:36:30,uinterface
5:40,uclick out
next pic 11,next pic 11
5:45,udetail words
5:46,ubackground
5:47,udetail words
5:49,udetail words
5:50,ubackground
5:50:30,ubackground
5:51,udetail words
5:52,uface 1
5:52:30,ucaption
5:58,uinterface
6:00,udetail (person 2)
6:01,uinterface
6:05,uface 1
6:07,ubackground
6:08,uinterface
6:11,uclick out
next pic 13,next pic 13
6:17,udetail
6:18,uface 1
6:19,udetail
6:20,ucaption
6:29,uinterface
6:33,udetail (person 2)
6:35,udetail (person 3)
6:36,uface 2
6:37,uinterface
0,0
next pic 13,next pic 13
7:11,pface 1
7:12,pcaption
7:22,pface 1
7:24,pcaption
7:29,pinterface
7:30,pcaption
7:33,pinterface
7:34,pface 1
7:35,pcaption
7:49,pinterface
7:57,pclick out
next pic 14,next pic 14
8:00,pdetail (person 1)
8:01,pdetail (person 2)
8:01:30,pdetail
8:02,pdetail (person 1)
8:03,pdetail (person 1)
8:05,pcaption
8:06,pdetail (person 1)
8:06:30,pcaption
8:14,pdetail (person 1)
8:15,pcaption
8:34,pdetail (person 1)
8:35,pdetail
8:36,pdetail (person 2)
8:36,pinterface
8:36:30,pdetail (person 1)
8:38,pinterface
8:39,pdetail (person 1)
8:40,pdetail (person 1)
8:40:30,pdetail (person 1)
8:41,pdetail (person 1)
8:42,pinterface
8:42:30,pclick out
next pic 15,next pic 15
8:43,uface 1
8:44,udetail (person 2)
8:45,udetail (person 2)
8:47,uinterface
8:53,ubackground
8:54,ubackground
8:54:30,uinterface
8:55,ubackground
8:56,ubackground
8:57,udetail
8:59,udetail (person 2)
9:00,uinterface
9:02,uclick out
next pic 16,next pic 16 (didn't load)
next pic 17,next pic 17
9:12,udetail
9:13,udetail
9:14,udetail
9:14:30,udetail
9:17,ucaption
9:19,udetail
9:20,ucaption
9:29,udetail
9:30,ucaption
9:36,udetail
9:36:30,udetail
9:37,udetail
9:37:30,udetail
9:38,ubackground
9:39,udetail
9:41,ucaption
9:42,uinterface
9:47,uclick out
next pic 18,next pic 18
9:48,uface 1
9:49,udetail words
9:49,udetail words
9:50,uface 2
9:50:30,uface 3
9:51,udetail words
9:52,ucaption
9:53,uinterface
9:56,uface 4
9:57,uinterface
10:03,uclick out
next pic 19,next pic 19
10:04,pdetail
10:04:30,pdetail (person 1)
10:05,pdetail (person 1)
10:06,pdetail (person 1)
10:06:30,pdetail
10:07,pdetail (person 1)
10:08,pcaption
10:09,pdetail
10:10,pdetail (person 1)
10:11,pdetail (person 1)
10:12,pdetail (person 1)
10:12,pbackground
10:13,pdetail (person 1)
10:15,pdetail
10:15:30,pcaption
10:16,pdetail
10:16:30,pcaption
10:18,pdetail (person 1)
10:19,pdetail
10:21,pdetail (person 1)
10:22,pinterface
10:23,pcaption
10:25,pclick out
next pic 20,next pic 20
10:26,uface 1
10:27,udetail
10:27:30,ucaption
10:28,uinterface
10:29,uface 1
10:29:30,uinterface
10:30,uface 1
10:31,uinterface
10:32,uface 1
10:34,uclick out
next pic 21,next pic 21
10:36,pface 1
10:37,pdetail
10:38,pdetail
10:39,pcaption
10:40,pface 1
10:41,pdetail (person 1)
10:41:30,pdetail
10:42,pdetail
10:43,pdetail (person 1)
10:44,pcaption
10:59,pface 1
11:00,pdetail
11:01,pcaption
11:06,pface 1
11:06:30,pcaption
11:07,pface 1
11:09,pdetail
11:10,pinterface
11:12,pface 1
11:13,pdetail
11:13:30,pface 1
11:14,pinterface
11:17,pface 1
11:19,pdetail (person 1)
11:19:30,pdetail (person 1)
11:20,pdetail
11:20:30,pdetail
11:21,pface 1
11:22,pinterface
11:23,pclick out
