 onset time,description
8:16:30,pface 2
8:17,pinterface
8:19,pclick out
next pic 32,next pic 32
8:20,uface 1
8:21,udetail (person 1)
8:22,ucaption
8:29,udetail (person 1)
8:29:30,uinterface
8:30,udetail (person 1)
8:30:30,uface 1
8:31,udetail
8:31:30,udetail words
8:32,udetail words
8:33,uinterface
8:34,uclick out
next pic 33,next pic 33
8:35,pface 1
8:36,pcaption
8:41,pdetail
8:42,pdetail
8:42:30,pface 1
8:43,pdetail (person 1)
8:44,pinterface
8:46,pface 1
8:47,pinterface
8:49,pclick out
next pic 34,next pic 34
8:51,udetail (person 1)
8:51:30,ubackground
8:52,uinterface
8:58,udetail
8:59,uinterface
9:00,uclick out
next pic 35,next pic 35
9:01,pface 1
9:01:30,pdetail (person 1)
9:02,pinterface
9:09:30,pdetail (person 1)
9:10,pface 1
9:11,pdetail
9:11:30,pdetail (person 1)
9:12,pclick out
next pic 36,next pic 36 (bad tracking)
next pic 37,next pic 37
9:26,pface 1
9:26:30,pface 2
9:28,pcaption
9:36,pinterface
9:40,pface 1
9:40:30,pface 2
9:41,pdetail
9:41:30,pdetail (person 1)
9:42,pinterface
9:48,pface 1
9:49,pdetail (person 1)
9:49:30,pdetail (person 2)
9:50,pdetail (person 1)
9:50:30,pinterface
9:54,pclick out
next pic 39,next pic 39
9:55,ucaption
9:59,uface 1
9:59:30,uface 2
10:00,uface 3
10:00:30,uface 4
10:01,uface 5
10:02,uinterface
10:04,uface 1
10:05,uface 2
10:05:30,ucaption
10:06,uclick out
next pic 40,next pic 40
10:07,pface 1
10:07:30,pdetail (person 1)
10:08,pdetail (person 1)
10:09,pdetail (person 1)
10:09:30,pdetail (person 1)
10:10,pdetail (person 1)
10:11,pinterface
10:16,pcaption
10:17:30,pdetail (person 1)
10:18,pface 1
10:18:30,pdetail (person 1)
10:19,pdetail (person 1)
10:19:30,pinterface
10:22,pface 1
10:22:30,pinterface
10:25,pdetail (person 1)
10:25:30,pinterface
10:27,pclick out
next pic 41,next pic 41
10:29,udetail
10:30,udetail
10:30:30,ucaption
10:32,uinterface
10:40,ucaption
10:45,udetail
10:45:30,udetail
10:46,uinterface
10:49,uclick out
next pic 42,next pic 42
10:50,pface 1
10:50:30,pcaption
10:56,pinterface
10:57,pdetail (person 1)
10:58,pface 1
10:58:30,pinterface
11:01,pclick out
