onset time,description,
next pic 1,next pic 1,
0:13,pdetail (person 1),
0:14,pinterface,
0:15,pcaption,
0:20,pface 1,
0:21,pdetail (person 1),
0:22,pface 1,
0:23,pdetail (person 2),
0:24,pdetail (person 3),
0:24:30,pcaption,
0:27,pface 1,
0:28,pdetail (person 2),
0:30,pdetail (person 1),
0:31,pcaption,
0:40,pinterface,
0:41,pdetail (person 1),
0:41:30,pface 1,
0:42,pdetail (person 2),
0:43,pface 1,
0:44,pdetail (person 2),
0:45,pface 1,
0:46,pface 4,
0:46,pinterface,
0:53,pclick out,
next pic 2,next pic 2,
0:54,pdetail (person 1),
0:54:30,pface 2,
0:55,pdetail (person 1),
0:55:30,pdetail,
0:56,pdetail,
0:57,pcaption,
1:12,pdetail,
1:12:30,pface 1,
1:13,pface 2,
1:13,pdetail,
1:14:00,pface 1,
1:14:30,pface 2,
1:15,pinterface,
1:15:30,pface 2,
1:16,pface 1,
1:16:30,pface 2,
1:17,pinterface,
1:22,pclickou,
next pic 3,next pic 3,
1:23,pbackground,
1:25,pdetail (person 1),
1:27,pinterface,
1:32,pdetail (person 2),
1:33,pcaption,
1:37,pface 2,
1:38,pdetail (person 2),
1:39,pdetail (person 1),
1:40,pface 2,
1:41,pinterface,
1:42,pdetail (person 2),
1:42:30,pdetail (person 1),
1:43,pinterface,
1:44,pdetail (person 2),
1:46,pinterface,
1:48,pdetail (person 2),
1:51,pinterface,
1:52,pclick out,
next pic 4,next pic 4,
1:53,ucaption,
1:53:30,udetail (person 1),
1:54,uinterface,
1:56,udetail (person 1),
1:57,uinterface,
1:58,uface 2,
1:58:30,uface 1,
1:59,uface 2,
2:00,uinterface,
2:01,uface 3,
2:02,uface 4,
2:03,udetail (person 1),
2:03:30,uinterface,
2:06,uclick out,
next pic 5,next pic 5,
2:07,pface 1,
2:07,pdetail (person 1),
2:08,pbackground,
2:09,pinterface,
2:10,pface 1,
2:11,pdetail (person 1),
2:11:30,pcaption,
2:20,pinterface,
2:21,pface 1,
2:21:30,pdetail (person 2),
2:22,pdetail (person 2),
2:22:30,pinterface,
2:25,pclick out,
next pic 6,next pic 6 (didn't load),
next pic 7,next pic 7,
2:33,pface 1,
2:34,pface 2,
2:34:30,pinterface,
2:35,pbackground,
2:35:30,pcaption,
2:40,pinterface,
2:41,pcaption,
2:44,pinterface,
2:45,pface 1,
2:35:30,pface 2,
2:46,pface 1,
2:47,pdetail (person 1),
2:48,pinterface,
2:51,pclick out,
next pic 8,next pic 8,
2:52,uface 1,
2:52:30,udetail,
2:53,uface 1,
2:54,udetail,
2:54:30,ucaption,
2:56,uinterface,
2:57,uface 1,
2:58,udetail,
2:58:30,uface 1,
2:59,udetail,
3:00,uinterface,
3:01,udetail,
3:01:30,uinterface,
3:04,uface 1,
3:05,uinterface,
3:06,uface 1,
