onset time,description,
3:06:30,uinterface,
3:07,uclick out,
next pic 9,next pic 9,
3:09,pface 1,
3:10,pdetail (person 2),
3:11,pface 3,
3:12,pface 1,
3:13,pdetail (person 3),
3:14,pcaption,
3:17,pdetail (person 3),
3:18,pcaption,
3:23,pinterface,
3:29,pface 1,
3:30,pface 2,
3:32,pdetail (person 2),
3:33,pdetail (person 3),
3:34,pface 1,
3:35,pclick out,
next pic 10,next pic 10,
3:36,udetail,
3:36:30,uinterface,
3:37,udetail,
3:38,uinterface,
3:41,udetail,
3:42,ucaption,
3:48,udetail,
3:49,uinterface,
3:50,uclick out,
next pic 11,next pic 11,
3:58,ubackground,
3:59,uinterface,
4:04,udetail words,
4:05,ucaption,
4:08,uinterface,
4:13,uclick out,
next pic 12,next pic 12,
4:14,udetail,
4:15,ucaption,
4:17,uface 1,
4:18,uinterface,
4:28,udetail,
4:29,udetail,
4:30,ucaption,
4:32,uinterface,
4:36,uface 1,
4:37,uinterface,
4:39,uclick out,
next pic 13,next pic 13,
4:41,pface 1,
4:43,pdetail (person 1),
4:44,pdetail (person 1),
4:45,pcaption,
4:51,pinterface,
4:53,pface 1,
4:55,pclick out,
next pic 14,next pic 14,
4:54,pdetail (person 1),
4:56,pdetail,
4:57,pdetail (person 1),
4:58,pbackground,
4:59,pcaption,
5:02,pdetail (person 1),
5:03,pcaption,
5:13,pdetail (person 1),
5:14,pcaption,
5:15,pdetail (person 1),
5:16,pinterface,
5:20,pclick out,
next pic 15,next pic 15,
5:21,udetail words,
5:21:30,udetail words,
5:23,udetail (person 1),
5:23:30,ucaption,
5:25,udetail,
5:26,uinterface,
5:30,uclick out,
next pic 16,next pic 16 (didn't load),
next pic 17,next pic 17,
5:43,udetail,
5:44,udetail,
5:44:30,uinterface,
5:45,udetail,
5:47,udetail,
5:48,ucaption,
5:52,uinterface,
6:01,uclick out,
next pic 18,next pic 18,
6:02,uface 1,
6:02:30,ucaption,
6:03,uinterface,
6:05,uclick out,
next pic 19,next pic 19,
6:06,pface 1,
6:08,pdetail,
6:09,pdetail,
6:10,pdetail,
6:10:30,pdetail,
6:11,pcaption,
6:22,pdetail,
6:23,pface 1,
6:24,pdetail,
6:25,pcaption,
6:28,pface 1,
6:30,pdetail,
6:30:30,pdetail,
6:31,pdetail,
6:32,pdetail (person 1),
6:33,pdetail,
6:34,pdetail,
6:35,pface 1,
6:36,pdetail,
6:36:30,pdetail,
6:37,pdetail,
6:38,pface 1,
6:38:30,pbackground,
6:39,pcaption,
6:40,pface 1,
6:41,pinterface,
6:44,pclick out,
next pic 20,next pic 20,
6:45,uface 1,
6:46,uinterface,
6:47,udetail,
6:47:30,ucaption,
6:50,uinterface,
6:50:30,udetail,
6:51,udetail,
6:52,uinterface,
6:57,uclick out,
next pic 21,next pic 21,
6:58,pface 1,
6:59,pdetail (person 1),
7:00,pcaption,
7:02,pface 1,
7:04,pcaption,
7:08,pdetail (person 1),
7:09,pcaption,
7:15,pface 1,
7:16,pdetail,
7:17,pinterface,
7:17:30,pface 1,
7:18,pdetail,
7:19,pinterface,
7:21,pclick out,
next pic 22,next pic 22,
7:23,udetail,
7:23:30,uface 1,
7:24,udetail,
7:25,udetail,
7:26,ubackground,
7:26:30,uface 1,
7:27,udetail (person 1),
7:28,udetail,
7:28:30,ucaption,
7:31,uinterface,
7:32,uclick out,
next pic 23,next pic 23,
7:35,pface 1,
7:36,pdetail,
7:37,pface 2,
7:37:30,pface 1,
7:39,pcaption,
7:42,pdetail,
7:43,pdetail,
7:44,pface 1,
7:45,pdetail,
7:46,pcaption,
7:49,pdetail,
7:49:30,pdetail,
7:50,pdetail,
7:50:30,pdetail,
7:51,pface 1,
7:52,pcaption,
7:53,pinterface,
7:55,pface 1,
7:56,pcaption,
8:00,pinterface,
8:02,pcaption,
8:03,pdetail,
8:06,pinterface,
8:10,pclick out,
next pic 24,next pic 24,
8:11,udetail,
8:12,udetail (person 1),
8:12,uinterface,
8:13,ucaption,
8:16,udetail (person 1),
8:17,uinterface,
8:18,udetail,
8:19,udetail (person 1),
8:20,uinterface,
8:22,uclick out,
next pic 25,next pic 25,
8:25,uface 1,
8:25:30,ucaption,
8:30,udetail,
8:31,uface 1,
8:32,uinterface,
8:38,uclick out,
next pic 26,next pic 26,
8:41,pface 1,
8:42,pface 2,
8:42:30,pface 1,
8:44,pinterface,
8:45,pdetail,
8:46,pdetail,
8:47,pface 2,
8:48,pcaption,
8:49,pface 1,
8:50,pface 2,
8:50:30,pinterface,
8:53,pface 1,
8:54,pdetail,
8:54:30,pinterface,
8:55,pdetail,
8:56,pdetail ,
8:56:30,pinterface,
8:57,pclick out,
next pic 27,next pic 27,
8:58,pface 1,
8:58:30,pdetail words,
8:59,pcaption,
8:59:30,pface 2,
9:00,pface 3,
9:00:30,pcaption,
9:01,pdetail words,
9:02,pface 1,
9:03,pcaption,
9:06,pdetail words,
9:07,pdetail words,
9:08,pface 1,
9:08,pface 4,"
"
9:09,pface 1,
9:10,pface 4,
9:10:30,pface 2,
9:11,pdetail (person 2,
9:11:30,pinterface,
9:15,pclick out,
next pic 27,next pic 27,
9:16,udetail,
9:17,ucaption,
9:19,udetail,
9:21,uinterface,
9:27,uclick out,
next pic 29,next pic 29,
9:28,pface 1,
9:28:30,pdetail (person 1),
9:29,pface 1,
9:30,pface 2,
9:31,pdetail (person 2),
9:32,pdetail (person 3),
9:32:30,pdetail (person 3),
9:33,pface 1,
9:34,pface 2,
9:35,pcaption,
9:42,pface 1,
9:43,pface 2,
9:44,pinterface,
9:50,pdetail (person 1),
9:51,pdetail (person 2),
9:52,pface 1,
9:52:30,pinterface,
9:53,pclick out,
next pic 30,next pic 30,
9:54,uface 1,
9:54:30,udetail (person 2),
9:55,ucaption,
9:56,udetail (person 1),
9:56:30,udetail,
9:57,udetail,
9:58,udetail,
9:59,ucaption,
9:59:30,uinterface,
10:02,uclick out,
next pic 31,next pic 31,
10:03,pfrace 1,
10:04:00,pface 2,
10:05,pdetail (person 1),
10:06,pdetail,
10:07,pface 1,
10:08,pface 2,
10:09,pdetail,
10:10,pcaption,
10:21,pface 1,
10:22,pface 2,
10:23,pdetail (person 3),
10:24,pinterface,
10:28,pclick out,
next pic 32,next pic 32,
10:29,uface 1,
10:29:30,uinterface,
10:31,udetail words,
10:32,udetail words,
10:34,uinterface,
10:39,uclick out,
next pic 33,next pic 33,
10:41,pface 1,
10:42,pdetail (person 1),
10:43,pdetail,
10:43:30,pdetail,
10:44,pcaption,
10:49,pdetail,
10:50,pdetail,
10:50:30,pdetail,
10:51,pdetail (person 1),
10:52,pface 1,
10:53,pdetail (person 1),
10:54,pcaption,
11:03,pdetail (person 1),
11:04,pface 1,
11:05,pdetail (person 1),
11:06,pinterface,
11:15,pclick out,
