onset time,description
next pic 1,next pic 1
0:12,pface 1
0:14,pdetail (person 1)
0:14:30,pcaption
0:18,pinterface
0:19,pface 1
0:19,pface 2
0:20,pface 3
0:20:30,pdetail (person 2)
0:21,pdetail (person 3)
0:22,pdetail (person 4)
0:23,pinterface
0:24,pface 1
0:25,pinterface
0:26,pface 1
0:29,pinterface
0:30,pface 1
0:31,pinterface
0:31:30,pdetail
0:32,pdetail (person 1)
0:32:30,pinterface
0:34,pclick out
next pic 2,next pic 2
0:35,pface 1
0:35:30,pdetal
0:36,pface 2
0:36:30,pcaption
0:48,pinterface
0:49,pdetail
0:49:30,pcaption
0:51,pbackground
0:51:30,pdetail words
0:52,pface 1
0:52:30,pbackground
0:53,pface 2
0:53:30,pdetail
0:54,pface 1
0:54:30,pinterface
0:57,pbackground
0:59,pclick out
next pic 3,next pic 3
1:00,pdetail (person 1)
1:00:30,pface 2
1:01,pcaption
1:05,pdetail (person 1)
1:05:30,pface 2
1:06,pinterface
1:10,pclick out
next pic 4,next pic 4
1:11,uface 1
1:12,ucaption
1:13,uface 1
1:13:30,uface 2
1:14,uface 3
1:14:30,uinterface
1:15,uface 3
1:16,uinterface
1:18,ucaption
1:19,uinterface
1:22,uclick out
next pic 5,next pic 5
1:23,pface 1
1:24,pdetail (person 2)
1:24:30,pcaption
1:27,pdetail (person 1)
1:28,pcaption
1:33,pface 1
1:34,pdetail (person 2)
1:35,pinterface
1:36,pdetail (person 2)
1:36:30,pdetail (person 1)
1:37,pinterface
1:40,pclick out
next pic 6,next pic 6 (didn't load)
next pic 7,next pic 7
1:53,pface 1
1:54,pdetail (person 2)
1:54:30,pcaption
2:02,pface 1
2:03,pface 2
2:04,pinterface
2:06,pclick out
next pic 8,next pic 8
2:07,uface 1
2:07:30,udetail
2:08,ucaption
2:09,uinterface
2:10,uface 1
2:10:30,udetail
2:11,uinterface
2:12,udetail
2:12:30,uinterface
2:13,uclick out
next pic 9,next pic 9
2:14,pface 1
2:15,pcaption
2:25,pface 1
2:25:30,pface 2
2:27,pdetail (person 3)
2:28,pdetail (person 4)
2:28:30,pface 2
2:29,pface 1
2:30,pinterface
2:31,pface 2
2:32,pinterface
