onset time,description
onset time,description
5:51,uface 1
5:52,udetail (person 2)
5:53,ucaption
5:54,uinterface
5:58,uclick out
next pic 23,next pic 23
5:59,pdetail
6:00,pdetail (person 1)
6:01,pface 2
6:02,pface 3
6:03,pface 2
6:04,pcaption
6:05,pdetail (person 1)
6:06,pdetail
6:07,pface 3
6:07:30,pdetail (person 1)
6:08,pface 1
6:09,pinterface
6:11,pcaption
6:12,pinterface
6:13,pclick out
next pic 24,next pic 24
6:14,uface 1
6:14:30,udetail (words)
6:15,udetail (person 1)
6:16,ucaption
6:18,uface 3
6:19,uinterface
6:21,udetail (words)
6:21:30,uinterface
6:22,uclick out
next pic 25,next pic 25
6:23,uface 1
6:24,udetail
6:25,uface 1
6:26,udetail
6:26:30,uface 1
6:27,udetail
6:28:00,udetail (person 1)
6:29,uface 1
6:30,uinterface
6:31,uclick out
next pic 26,next pic 26
6:32,pface 1
6:33,pface 2
6:34,pcaption
6:38,pface 2
6:39,pface 1
6:40,pface 2
6:41,pface 1
6:42,pdetail
6:43,pface 2
6:44,pdetail
6:45,pface 2
6:46,pcaption
6:49,pinterface
6:50,pface 1
6:51,pface 2
6:52,pclick out
next pic 27,next pic 27
6:54,pface 1
6:54:30,pdetail (words)
6:55,pdetail (person 3)
6:56,pface 1
6:57,pface 2
6:57:30,pface 1
6:58,pdetail (words)
6:59,pdetail (words)
6:58:30,pface 2
6:59,pcaption
7:02,pinterface
7:04,pcaption
7:06,pinterface
7:07,pdetail (person 3)
7:08,pclick out
next pic 28,next pic 28
7:09,udetail
7:09:30,ucaption
7:10,udetail
7:10:30,uinterface
7:11,udetail
7:12,uinterface
7:13,uclick out
next pic 29,next pic 29
7:14,pdetail (person 1)
7:15,pface 1
7:16,pface 2
7:16:30,pface 1
7:17,pcaption
7:19,pface 2
7:20,pdetail (person 2)
7:21,pface 2
7:22,pinterface
7:23,pface 2
7:24,pdetail (person 3)
7:25,pcaption
7:26,pface 1
7:27,pinterface
7:29,pclick out
next pic 30,next pic 30
7:30,uface 1
7:31,udetail (person 2)
7:31:30,uface 3
7:32,ucaption
7:37,uface 1
7:38,udetail (person 4)
7:39,uinterface
7:41,uclick out
next pic 31,next pic 31
7:42,pface 1
7:43,pdetail 
7:44,pdetail
7:45,pdetail (person 2)
7:45:30,pdetail (person 3)
7:46,pcaption
7:48,pface 1
7:49,pface 2
7:50,pcaption
7:52,pinterface
7:53,pcaption
7:54,pinterface
7:55,pcaption
7:56,pclick out
next pic 32,next pic 32
7:57,uface1
7:58,ucaption
7:58:30,uinterface
7:59,ucaption
8:00,udetail
8:01,uinterface
8:02,uclick out
next pic 33,next pic 33
8:03,pdetail (person 1)
8:04,pdetail (person 1)
8:05,pcaption
8:07,pface 1
8:08,pcaption
8:12,pdetail (person 1)
8:12:30,pdetail
8:13,pcaption
8:15,pface 1
8:17,pdetail (person 1)
8:18,pdetail
8:19,pcaption
8:21,pinterface
8:23,pface 1
8:23:30,pdetail
8:24,pface 1
8:25,pdetail (person 1)
8:26,pdetail
8:27,pinterface
8:28,pface 1
8:29,pcaption
8:31,pinterface
8:32,pdetail
8:33,pclick out
next pic 34,next pic 34
8:34,udetail (person 1)
8:34:30,ucaption
8:35,uinterface
8:35:30,ubackground
8:36,udetail
8:36:30,uinterface
8:39,uclick out
next pic 35,next pic 35
8:40,pface 1
8:41,pdetail (person 1)
8:42,pcaption
8:43,pinterface
8:43:30,pcaption
8:44,pdetail (person 1)
8:45,pdetail (person 1)
8:46,pinterface
8:47,pcaption
8:49,pclick out
next pic 36,next pic 36
8:50,udetail
8:51,udetail (person 1)
8:51:30,uface 2
8:52,uface 1
8:53,uface 3
8:53:30,udetail (person 4)
8:54,ucaption
8:54:30,udetail
8:55,uface 2
8:56,ucaption
8:57,uinterface
9:03,uclick out
next pic 37,next pic 37
9:04,uface 1
9:05,udetail (words)
9:06,udetail (words)
9:07:00,uface 2
9:08,uinterface
9:10,uclick out
next pic 38,next pic 38
9:11,pface 1
9:12,pface 2
9:13,pface 1
9:14,pcaption
9:18,pdetail (person 1)
9:19,pdetail (person 2)
9:20,pdetail (person 2)
9:21,pdetail (person 1)
9:22,pdetail (person 2)
9:23,pcaption
9:25,pface 1
9:26,pdetail (person 1)
9:27,pface 2
9:28,pdetail (person 1)
9:28:30,pdetail (person 1)
9:29,pface 2
9:29:30,pface 1
9:30,pcaption
9:31,pinterface
9:33,pface 1
9:34,pdetail (person 1)
9:35,pinterface
9:36,pclick out
next pic 39,next pic 39
9:37,uface 1
9:38,uface 2
9:38:30,ucaption
9:39,uinterface
9:40,uinterface
9:41,uclick out
next pic 41,next pic 41
9:42,pface 1
9:43,pdetail
9:43:30,pdetail
9:44,pcaption
9:45,pface 1
9:46,pinterface
9:47,pdetail (person 1)
9:48,pface 1
9:49,pinterface
9:50,pdetail (person 1)
9:51,pdetail (person 1)
9:52,pface 1
9:53,pclick out
next pic 41,next pic 41
9:54,udetail
9:55,ucaption
9:55:30,uinterface
9:56,udetail
9:57,udetail
9:58,uinterface
9:59,ucaption
10:00,uclick out
next pic 42,next pic 42
10:01,pface 1
10:02,pdetail (words)
10:03,pcaption
10:04,pinterface
10:06,pinterface
10:07,pdetail (person 1)
10:08,pclick out
next pic 43,next pic 43
10:09,udetail
10:10,ucaption
10:15,udetail
10:16,udetail
10:17,ucaption
