onset time,description
6:55,pface 1
6:56,pface 2
6:57,pface 1
6:57:30,pinterface
6:58,pface 1
6:59,pdetail (words)
6:59:30,pface 1
7:00,pclick out
next pic 28,next pic 28
7:01,udetail
7:01:30,ucaption
7:02,udetail
7:03,ucaption
7:03:30,uinterface
7:05,udetail
7:06,uclick out
next pic 29,next pic 29
7:07,pdetail (person 1)
7:08,pface 2
7:09,pface 3
7:09:30,pcaption
7:18,pface 2
7:19,pinterface
7:19:30,pface 2
7:20,pface 3
7:21,pinterface
7:22,pface 2
7:23,pinterface
7:23:30,pclick out
next pic 30,next pic 30
7:25,udetail (person 1)
7:25:30,udetail (person 2)
7:26,ucaption
7:28,udetail (person 3)
7:29,udetail (person 4)
7:30,uinterface
7:31,udetail (person 2)
7:32,udetail (person 4)
7:33,uclick out
next pic 31,next pic 31
7:34,pface 1
7:35,pdetail (person 2)
7:36,pdetail (person 1)
7:36:30,pdetail
7:37,pdetail (person 3)
7:38,pcaption
7:50,pface 1
7:51,pface 2
7:52,pinterface
7:53,pface 1
7:54,pinterface
7:54:30,pface 1
7:55,pdetail
7:56,pdetail (person 3)
7:57,pface 1
7:57:30,pinterface
7:58,pclick out
next pic 32,next pic 32
7:59,uface 1
7:59:30,udetail (person 1)
8:00,ubackground
8:01,ucaption
8:02,udetail (words)
8:02:30,udetail
8:03,uclick out
next pic 33,next pic 33
8:04,pface 1
8:04:30,pdetail
8:05,pface 1
8:06,pdetail (person 1)
8:07,pcaption
8:09,pdetail (person 1)
8:10,pcaption
8:22,pface 1
8:23,pdetail (person 1)
8:24,pcaption
8:25,pinterface
8:28,pclick out
next pic 34,next pic 34
8:29,udetail
8:30,ucaption
8:31,uinterface
8:32,ucaption
8:34,uface 1
8:35,uinterface
8:35:30,udetail
8:36,uinterface
8:38,uface 1
8:39,uinterface
8:40,uclick out
next pic 35,next pic 35
8:41,pdetail
8:42,pface 1
8:43,pdetail (person 1)
8:44,pdetail (person 1)
8:45,pcaption
8:54,pface 1
8:54:30,pdetail (person 1)
8:55,pdetail (person 1)
8:56,pcaption
8:58,pinterface
8:59,pface 1
8:59:30,pdetail (person 1)
9:00,pcaption
9:01,pinterface
9:03,pdetail (person 1)
9:04,pclick out
next pic 36,next pic 36
9:05,udetail
9:06,ucaption
9:06:30,uface 1
9:07,udetail
9:08,ucaption
9:15,uface 1
9:16,uinterface
9:18,udetail
9:18:30,uface 2
9:19,uclick out
next pic 37,next pic 37
9:20,uface 1
9:20:30,udetail (words)
9:21,udetail (words)
9:21:30,udetail (words)
9:22,udetail (words)
9:23,ucaption
9:28,uface 1
9:29,udetail (words)
9:30,uinterface
9:32,uclick out
next pic 38,next pic 38
9:34,pdetail (person 1)
9:35,pface 1
9:36,pdetail (person 1)
9:36:30,pdetail (person 1)
9:38,pcaption
9:40,pface 2
9:41,pface 1
9:42,pcaption
9:45,pinterface
9:46,pface 1
9:46:30,pdetail (person 1)
9:47,pdetail (person 1)
9:48,pdetail (person 2)
9:49,pinterface
9:50,pcaption
9:54,pdetail (person 1)
9:55,pdetail (person 1)
9:56,pinterface
9:58,pface 2
9:59,pdetail (person 2)
10:00,pclick out
next pic 39,next pic 39
10:01,uface 1
10:01:30,ucaption
10:03,uface 2
10:04,ucaption
10:08,udetail (person 1)
10:09,uinterface
10:10,uface 2
10:10:30,uinterface
10:12,uface 2
10:13,uclick out
next pic 40,next pic 40
10:14,pface 1
10:15,pdetail (person 1)
10:16,pcaption
10:17,pdetail (person 1)
10:18,pdetail (person 1)
10:19,pcaption
10:24,pinterface
10:24:30,pface 1
10:25,pdetail (person 1)
10:26,pinterface
10:27,pclick out
next pic 41,next pic 41
10:28,udetail
10:28:30,udetail
10:29,ucaption
10:36,udetail
10:37,udetail
10:38,ucaption
10:39,uinterface
10:43,udetail
10:44,uinterface
10:45,udetail
10:45:30,uinterface
10:47,uclick out
next pic 42,next pic 42
10:48,pdetail (person 1)
10:49,pdetail (person 1)
10:49:30,pcaption
10:53,pdetail (person 1)
10:54,pface 1
10:55,pdetail (person 1)
10:56,pdetail
10:56:30,pface 1
10:57,pdetail (person 1)
10:58,pdetail (person 1)
10:59,pcaption
10:59:30,pdetail
11:00,pinterface
11:03,pclick out
