onset time,description
next pic 1,next pic 1
0:15,pface 1
0:16,pinterface
0:17,pface 1
0:19,pdetail (person 1)
0:20,pdetail (person 1)
0:20:30,pinterface
0:21,pface 1
0:21,pdetail (person 2)
0:22,pdetail (person 1)
0:23,pinterface
0:24,pdetail (person 1)
0:25,pdetail (person 1)
0:26,pcaption
0:32,pface 1
0:33,pinterface
0:34,pdetail (person 1)
0:35,pinterface
0:37,pface 1
0:37:30,pdetail (person 1)
0:38,pinterface
0:40,pface 1
0:40,pdetail (person 2)
0:41,pinterface
0:42,pface 1
0:42,pdetail (person 3)
0:43,pdetail (person 1)
0:44,pinterface
0:46,pdetail (person 1)
0:47,pinterface
0:49,pclick out
next pic 2,next pic 2
0:50,pface 1
0:51,pcaption
1:00,pdetail (person 2)
1:00:30,pinterface
1:07,pdetail (person 2)
1:08,pface 1
1:09,pdetail (person 2)
1:10,pdetail
1:10:30,pcaption
1:12,pinterface
1:17,pclick out
next pic 3,next pic 3
1:17:30,pbackground
1:18,pcaption
1:21,pface 1
1:21:30,pdetail (person 2)
1:22,pdetail (person 1)
1:23,pdetail (person 1)
1:25,pinterface
1:28,pdetail (person 1)
1:28:30,pdetail (person 2)
1:29,pdetail (person 1)
1:29,pinterface
1:31,pclick out
next pic 4,next pic 4
1:32,uface 1
1:33,ucaption
1:33,uface 2
1:34,uface 3
1:34:30,uinterface
1:36,udetail (person 4)
1:37,uface 3
1:38,uinterface
1:39,uface 1
1:40,udetail (person 5)
1:41,uinterface
1:44,uclick out
next pic 5,next pic 5
1:46,pdetail words
1:46:30,pcaption
1:51,pinterface
1:52,pdetail (person 1)
1:53,pcaption
1:55,pinterface
1:55:30,pface 1
1:56,pdetail (person 2)
1:57,pcaption
1:58,pinterface
2:00,pclick out
next pic 6,next pic 6 (didn't load)
next pic 7,next pic 7
2:07,pface 1
2:08,pcaption
2:12,pface 2
2:13,pface 1
2:15,pcaption
2:19,pface 2
2:20,pinterface
2:22,pface 1
2:23,pclick out
next pic 8,next pic 8
2:24,uface 1
2:24:30,ucaption
2:26,uface 1
2:26,udetail
2:27,uinterface
2:30,uclick out
next pic 9,next pic 9
2:31,pface 1
2:32,pcaption
2:36,pdetail (person 2)
2:37,pface1
2:37:30,pcaption
2:41,pdetail (person 2)
2:41:30,pface 3
2:42,pinterface
2:43,pface 1
2:44,pface 2
2:45,pface 3
2:46,pinterface
2:47,pclick out
next pic 10,next pic 10
2:48,ubackground
2:48:30,ucaption
2:54,udetail
2:55,udetail
2:55:30,udetail
2:56,udetail
2:57,udetail
2:58,udetail
2:59,udetail
3:00,udetail
3:01,uinterface
3:01:30,udetail
3:02,uinterface
3:04,uclick out
