onset time,description
next pic 1,next pic 1
0:13,pface 1
0:14,pdetail (person 1)
0:15,pdetail (person 1)
0:16,pdetail (person 1)
0:17,pface 1
0:19,pdetail (person 1)
0:20,pdetail (person 1)
0:21,pface 2
0:21,pdetail (person 2)
0:22,pdetail (person 1)
0:23,pcaption
0:24,pdetail (person 1)
0:25,pdetail (person 1)
0:26,pcaption
0:31,pface 1
0:32,pinterface
0:34,pdetail (person 1)
0:35,pinterface
0:37,pface 1
0:37:30,pdetail (person 2)
0:38,pinterface
0:40,pface 1
0:41,pinterface
0:42,pface 1
0:43,pdetail (person 1)
0:44,pinterface
0:46,pdetail (person 1)
0:47,pinterface
0:48,pclick out
next pic 2,next pic 2
0:49,pface 1
0:50,pcaption
1:00,pdetail (person 2)
1:00:30,pinterface
1:07,pdetail (person 2)
1:08,pface 1
1:09,pdetail (person 2)
1:10,pdetail
1:10:30,pinterface
1:12,pcaption
1:19,pclick out
next pic 3,next pic 3
1:20,pface 1
1:20:30,pdetail (person 2)
1:21:00,pface 1
1:22,pdetail (person 1)
1:23,pdetail (person 1)
1:24,pinterface
1:28,pdetail (person 1)
1:28:30,pdetail (person 2)
1:29,pdetail (person 1)
1:29,pinterface
1:31,pclick out
next pic 4,next pic 4
1:32,uface 1
1:33,ucaption
1:34,uface 3
1:34:30,uinterface
1:37,uface 3
1:38,uinterface
1:39,uface 1
1:40,udetail (person 5)
1:41,uinterface
1:43,uclick out
next pic 5,next pic 5
1:44,pdetail words
1:44:30,pcaption
1:45,pinterface
1:52,pdetail (person 1)
1:53,pcaption
1:55:30,pface 1
1:56,pdetail (person 2)
1:57,pcaption
1:58,pinterface
2:00,pclick out
next pic 6,next pic 6 (didn't load)
next pic 7,next pic 7
2:05,pface 1
2:06,pcaption
2:12,pface 2
2:13,pface 1
2:14,pcaption
2:18,pface 1
2:19,pface 2
2:20,pinterface
2:21,pface 2
2:22,pface 1
2:23,pclick out
next pic 8,next pic 8
2:24,uface 1
2:25:00,udetail
2:26,uface 1
2:27,ucaption
2:29,uinterface
2:32,uclick out
next pic 9,next pic 9
2:33,pface 1
2:34,pcaption
2:36,pdetail (person 2)
2:37,pface1
2:37:30,pcaption
2:41,pdetail (person 2)
2:41:30,pface 1
2:42,pinterface
2:43,pface 1
2:44,pface 2
2:45,pface 3
2:46,pinterface
2:47,pclick out
next pic 10,next pic 10
2:48,udetail
2:48:30,ucaption
2:55,udetail
2:55:30,udetail
2:56,udetail
2:57,ucaption
3:01,uinterface
3:01:30,udetail
3:02,uinterface
3:03,uclick out
next pic 11,next pic 11
3:04,ucaption
3:09,udetail words
3:10,uinterface
3:11,udetail (person 1)
3:12,uinterface
3:13,ubackground
3:13:30,udetail (person 2)
3:14,udetail (person 3)
3:14:30,udetail words
3:15,ucaption
3:22,udetail (person 1)
3:22:30,uinterface
3:24,uclick out
next pic 12,next pic 12
3:25,ucaption
3:29,udetail (person 1)
3:29:30,udetail (person 2)
3:30,udetail (person 3)
3:31,udetail (person 1)
3:32,uinterface
3:34,uclick out
next pic 13,next pic 13
3:35,pface 1
3:36,pcaption
3:37,pinterface
3:38,pface 1
3:39,pcaption
3:44,pface 1
3:45,pinterface
3:45:30,pface 1
3:46,pclick out
next pic 14,next pic 14
3:47,pdetail (person 1)
3:48,pcaption
3:49:30,pdetail (person 1)
3:50,pcaption
4:01,pdetail (person 1)
4:02,pdetail (person 1)
4:03,pdetail (person 1)
4:04,pinterface
4:06,pdetail (person 1)
4:07,pinterface
4:12,pclick out
next pic 15,next pic 15
4:13,ucaption
4:13:30,udetail (person 1)
4:14,uinterface
4:15,udetail (person 2)
4:16,uinterface
4:18,uclick out
next pic 16,next pic 16 (didn't load)
next pic 17,next pic 17
4:24,udetail
4:24:30,ucaption
4:31,udetail
4:32,ucaption
4:37,udetail
4:37:30,uinterface
4:39,udetail
4:40,uinterface
4:44,uclick out
next pic 18,next pic 18
4:45,udetail words
4:46,ucaption
4:49,uface 1
4:50,uface 2
4:50:30,uinterface
4:51,uclick out
next pic 19,next pic 19
4:52,pdetail
4:53,pface 1
4:53:30,pdetail (person 1)
4:54,pcaption
4:54:30,pdetail (person 1)
4:55,pinterface
4:55:30,pdetail
4:56,pcaption
4:57,pinterface
4:57:30,pdetail
4:58,pclick out
next pic 20,next pic 20
4:59,uface 1
4:59:30,uinterface
5:01,uclick out
next pic 21,next pic 21
5:02,pface 1
5:02:30,pinterface
5:04,pcaption
5:09,pinterface
5:10,pface 1
5:10:30,pclick out
next pic 22,next pic 22
5:12,ucaption
5:13,udetail
5:14,uinterface
5:17,udetail
5:18,uclick out
next pic 23,next pic 23
5:19,pface 1
5:20,pface 2
5:21,pface 1
5:22,pdetail (person1)
5:23,pface 1
5:24,pcaption
5:30,pface 2
5:31,pdetail (person 3)
5:32,pcaption
5:37,pface 1
5:38:30,pinterface
5:39,pdetail
5:40,pinterface
5:40:30,pface 1
5:41,pclick out
next pic 24,next pic 24
5:42,ucaption
5:43,udetail words
5:43:30,uinterface
5:44,uclick out
next pic 25,next pic 25
5:45,uface 1
5:45:30,ucaption
5:46,uinterface
5:46:30,ucaption
5:48,uinterface
5:49,uface 1
5:49:30,uclick out
next pic 26,next pic 26
5:50:00,pface 1
5:51,pface 2
5:51:30,pface 1
5:52,pcaption
5:56,pface 2
5:57,pcaption
5:58,pface 2
5:59:00,pface 1
6:00,pcaption
6:01,pface 2
6:01:30,pinterface
6:03,pface 2
6:04,pinterface
6:04:30,pdetail
6:05,pclick out
next pic 27,next pic 27
6:06,pface 1
6:07,pcaption
6:08,pface 2
6:09,pinterface
6:10,pdetail
6:10:30,pdetail words
6:11,pdetail
6:11:30,pcaption
6:12,pface 1
6:13, pcaption
6:14,pdetail (person 1)
6:15,pcaption
6:18,pinterface
6:19,pclick out
next pic 28,next pic 28
6:20,udetail
6:21,ucaption
6:22,uinterface
6:23,udetail
6:24,uinterface
6:25,uclick out
next pic 29,next pic 29
6:26,pface 1
6:27,pcaption
6:29,pdetail words
6:30,pface 2
6:30:30,pcaption
6:31,pface 2
6:32,pcaption
6:32:30,pface 1
6:33,pcaption
6:33:30,pface 2
6:34,pinterface
6:36,pclick out
next pic 30,next pic 30
6:37,udetail
6:37:30,ucaption
6:40,uinterface
6:41,udetail
6:42,uinterface
6:43,udetail
6:43:30,uinterface
6:44,uclick out
next pic 31,next pic 31
6:45,pface 1
6:46,pinterface
6:47,pcaption
6:50,pinterface
6:51,pface 1
6:52,pclick out
next pic 32,next pic 32
6:53,uface 1
6:53:30,udetail words
6:54,ucaption
6:54:30,udetail words
6:55,uinterface
6:56,uclick out
next pic 33,next pic 33
6:57,pface 1
6:57:30,pcaption
7:02,pface 1
7:03,pcaption
7:04,pface 1
7:05,pcaption
7:07,pinterface
7:08,pclick out
next pic 34,next pic 34
7:09,udetail
7:09:30,ucaption
7:10,udetail (person 1)
7:11,uinterface
7:15,uclick out
next pic 35,next pic 35
7:16,pface 1
7:16:30,pdetail (person 1)
7:17,pdetail (person 1)
7:17:30,pcaption
7:24,pinterface
7:24:30,pface 1
7:25,pinterface
7:26,pclick out
next pic 36,next pic 36
7:27,uface 1
7:28,udetail (person 1)
7:29,uinterface
7:29:30,uface 1
7:30,uface 3
7:30:30,ucaption
7:33,uinterface
7:35,uclick out
next pic 37,next pic 37
7:36,uface 1
7:37,ucaption
7:41,uface 1
7:42,uinterface
7:44,uface 2
7:44:30,uclick out
next pic 38,next pic 38
7:45,pface 1
7:46,pcaption
7:49,pface 1
7:49:30,pface 2
7:50,pface 1
7:51,pdetail (person 1)
7:51:30,pface 1
7:52,pinterface
7:53,pface 2
7:54,pinterface
7:56,pdetail (person 2)
7:57,pdetail (person 1)
7:58,pcaption
7:59,pdetail (person 1)
8:00,pface 1
8:01,pclick out
next pic 39,next pic 39
8:02,udetail
8:02:30,ucaption
8:04,uinterface
8:07,uclick out
next pic 40,next pic 40
8:09,pinterface
8:10,pdetail (person 1)
8:11,pcaption
8:15,pface 1
8:15:30,pdetail (person 1)
8:16,pdetail (person 1)
8:16:30,pdetail (person 1)
8:17,pdetail (person 1)
8:18,pdetail (person 1)
8:19,pcaption
8:20,pinterface
8:22,pclick out
next pic 41,next pic 41
8:23,udetail
8:23:30,uinterface
8:24,ucaption
8:25,udetail
8:26,uinterface
8:30,uclick out
next pic 42,next pic 42
8:31,pface 1
8:32,pinterface
8:33,pcaption
8:34,pdetail (person 1)
8:35,pface 1
8:35:30,pdetail (person 1)
8:36:00,pface 1
8:37:00,pcaption
8:39,pclick out
next pic 43,next pic 43
8:40,udetail
8:42,ucaption
8:51,udetail
8:52,udetail
8:52:30,uinterface
8:53,ubackground
8:54,uinterface
9:00,uclick out
next pic 44,next pic 44
9:01,pdetail (person 1)
9:01:30,pface 1
9:02:00,pdetail (person 1)
9:03:00,pdetail (person 1)
9:04,pdetail (person 1)
9:04:30,pcaption
9:06,pdetail words
9:07,pface 1
9:07:30,pinterface
9:08,pdetail (person 1)
9:08:30,pdetail words
9:09,pface 1
9:09:30,pinterface
9:11,pclick out
next pic 45,next pic 45
9:12,udetail words
9:13,uinterface
9:13:30,udetail (person 1)
9:14,udetail (person 2)
9:15,udetail words
9:16,ucaption
9:19,udetail (person 2)
9:19:30,uclick out
next pic 46,next pic 46
9:21,pdetail
9:22,pdetail
9:23,pcaption
9:23:30,pinterface
9:24,pcaption
9:25,pdetail
9:26,pinterface
9:28,pclick out
next pic 47,next pic 47
9:29,uface 1 (dog)
9:30,uinterface
9:30:30,ucaption
9:31,udetail
9:31:30,uinterface
9:33,uclick out
next pic 48,next pic 48
9:34,pface 1
9:34:30,pcaption
9:35:00,pface 1
9:36,pface 2
9:37,pcaption
9:39,pinterface
9:39:30,pface 1
9:40,pdetail (person 1)
9:41,pface 2
9:41:30,pface 1
9:42,pface 3
9:43,pinterface
