onset time,description
next pic 13,next pic 1
0:13,pface 1
0:15,pface 2
0:16,pface 3
0:16:30,pface 1
0:15:05,pcaption
0:16,pdetail (person 1)
0:16:05,pdetail
0:17,pdetail
0:18,pinterface
0:19,pcaption
0:19:05,pface 1
0:20,pinterface
0:21,pcaption
0:21:05,pdetail 
0:22,pface 1
0:23,pinterface
0:24,pface 1
0:24,pinterface
0:25,pface 1
0:25:05,caption
0:29,pinterface
0:29,pface 1
0:30,pdetail (on person 1)
0:31,pface 2
0:31:05,pface 1
0:32,pinterface
0:33,interface
next pic 2,next pic 2
0:55,pbackground
0:55:05,pface 1
0:56,pface 2
0:56:05,pdetail
0:57,pface 1
0:57:05,pface 2
0:58,pcaption
0:59,pinterface
0:59:05,pcaption
1:07,pinterface
1:07:05,pcaption
1:12,pinterface
1:12:30,pcaption
1:13,pinterface
1:13:30,pface 1
1:14,pdetail (person 1)
1:15,pface 1
1:15:30,pbackground
1:16,pdetail
1:17,pbackground
1:17:30,pdetail
1:18,pdetail
next pic 3,next pic 3
1:19,pinterface
1:19:30,pface 1
1:20,pdetail (person 1)
1:21,pinterface
1:22,pcaption
1:24,pdetail (person 1)
1:24:30,pinterface
1:25,pcaption
1:26,pinterface
1:27,pcaption
1:27:30,pface 1
1:28,pcaption
1:30,pface 1
1:30:30,pdetail (person 1)
1:31,pface 1
1:31:30,pdetail (person 1)
next pic 4,next pic 4
1:33,uperson 1
1:34,uface 1
1:34:30,uinterface
1:35,ucaption
1:35:30,uface 2
1:36,uface 3
1:36:30,uinterface
1:37,uface 4
1:37:30,uperson 1
1:38,uinterface
1:38:30,uface 3
1:39,ucaption
1:39:30,uinterface
1:40,ucaption
1:41,uinterface
1:41:30,uface 1
1:42,uface 2
1:42:30,uface 4
1:43,ucaption
1:43:30,uinterface
next pic 5,next pic 5
1:44,pperson 1
1:45,pcaption
1:51:00,pdetail (person 1)
1:52,pface 1
1:53,pcaption
1:54,pdetail (person 1)
next pic 6,next pic 6
1:54:30,ubackground
1:55,ubackground
1:55,ubackground
1:56,ucaption
1:56:30,uinterface
1:57,uinterface
1:58,ucaption
1:59,ubackground
1:59:30,ucaption
next pic 7,next pic 7
2:07,pdetail (person 1)
2:08,pinterface
2:08:30,pcaption
2:09,pface 1
2:09:30,pface 2
2:10,pcaption
2:25,pinterface
2:26,pface 1
2:26:30,pface 2
2:27,pinterface
2:27:30,pinterface
2:28,pdetail (person 1)
2:28:30,pface 2
2:29,pface 1
2:29:30,pface 2
next pic 8,next pic 8
2:30,udetail
2:31,udetail
2:31:30,ucaption
2:32,uinterface
2:33,uinterace
2:33:30,udetail
2:34,uinterface
next pic 9,next pic 9
2:38,pface 1
2:38:30,pdetail (person 1)
2:42,pcaption
2:51,pinterface
2:51:30,pface 2
2:52,pperson
2:53,pface 3
2:53:30,pperson
2:54,pface 2
2:54:30,pface 1
2:55,pinterface
2:55:30,pdetail
next pic 10,next pic 10
2:59,ucaption
3:01,uinterface
3:01:30,udetail
3:02,ubackground
3:02:30,udetail
3:03,udetail
3:03:30,udetail
3:04,udetail
3:05,ubackground
3:05:30,uinterface
3:07,uinterface
3:07:30,udetail
3:08,upcaption
3:10,ubackground
3:11,udetail
3:12,ubackground
3:13,ubackground
3:14,ubackground
next pic 11,next pic 11
3:15,pdetail (person 1)
3:16,uinterface
3:16:30,uface 2
3:17,udetail
3:17:30,pdetail (person 1)
3:18,pdetail (person 1)
3:18:30,ucaption
3:19,uinterface 
3:19:30,ucaption
3:25,uinterface
3:25:30,uinterface
next pic 12,next pic 12
3:26,pdetail (person 1)
3:26:30,pdetail (person 1)
3:27,uface 1
3:28,uinterface
3:29,ucaption
3:29:30,uinterface
3:30:30,pdetail (person 1)
3:31,uface 1
3:32,uface 2
3:33,uinterface
3:35,ucaption
next pic 13,next pic 13
3:37,pface 1
3:38,pinterface
3:38:30,pcaption
3:39,pinterface
3:39:30,pcaption
3:41,pface 1
3:43,pdetail (person 1)
3:43:30,pface 1
3:45,pinterface
3:45,pdetail (person 1)
next pic 14,next pic 14
3:46,pdetail (person 1)
3:47,pdetail (person 2)
3:47:30,pinterface
3:48,pcaption
3:48:30,pdetail (person 2)
3:49:30,pcaption
3:52,pdetail (person 2)
3:52:30,pdetail (person 2)
3:54,pdetail (person 1)
3:55,pdetail
3:55:30,pdetail (person 2)
3:56,pcaption
3:58,pinterface
3:58:30,pinterface
3:59,pcaption
next pic 15,next pic 15
4:00,pdetail (person 1)
4:01,ucaption
4:02,uinterface
4:02:30,ucaption
4:03,udetail
4:03:30,pdetail (person 1)
4:04,pdetail (person 1)
4:04:30,uinterface
4:05,uinterface 
4:05:30,upersonbody 1
4:06,upersonbody 2
4:06:30,upersonbody 1
4:07,uinterface
next pic 16,next pic 16 (didn't load)
next pic 17,next pic 17
4:15,udetail
4:15:30,udetail (person 1)
4:16,udetail
4:16:30,uinterface
4:17,ucaption
4:26,udetail (person 1)
4:26:30,udetail
