onset time,description
next pic 1,next pic 1
0:13,pinterface
0:14,pcaption
0:14:30,pdetail (person 1)
0:15,pface 1
0:16,pdetail (person 1)
0:17,pcaption
0:19,pinterface
0:20,pcaption
0:21,pface 1
0:22,pcaption
0:26,pinterface
0:27,pcaption
0:31,pface 1
0:32,pcaption
0:37,pinterface
0:39,pdetail (person 2)
0:40,pcaption
0:41,pface 1
0:42,pinterface
0:45,pclick out
next pic 2,next pic 2
0:46,pface 1
0:48,pcaption
0:57,pinterface
0:58,pface 1
1:00,pdetail (person 2)
1:01,pface 1
1:02,pdetail
1:03,pinterface
1:06,pclick out
next pic 3,next pic 3
1:08,pface 1
1:08:30,pcaption
1:13,pbackground
1:13:30,pdetail (person 2)
1:14,pface 1
1:15,pdetail (person 2)
1:16,pinterface
1:16:30,pdetail (person 2)
1:18,pinterface
1:19,pface 1
1:20,pinterface
1:21,pclick out
next pic 3,next pic 3
1:22,uface 1
1:23,ucaption
1:23:30,uface 2
1:24,uface 3
1:24:30,udetail (person 3)
1:25,ucaption
1:26,uface 1
1:26:30,uinterface
1:28,uclick out
next pic 5,next pic 5
1:31,pdetail
1:32,pdetail (person 1)
1:32:30,pdetail (person 1)
1:33,pcaption
1:39,pface 2
1:40,pcaption
1:41,pdetail (person 1)
1:42,pdetail (person 1)
1:43,pinterface
1:44,pclick out
next pic 6,next pic 6 (didn't load)
next pic 7,next pic 7
1:51,pface 1
1:52,pface 2
1:53,pcaption
2:00,pinterface
2:01,pcaption
2:04,pinterface
2:04:30,pface 1
2:05,pinterface
2:06,pface 1
2:07,pface 2
2:08,pinterface
2:10,pclick out
next pic 8,next pic 8
2:11,uface 1
2:12,ucaption
2:14,udetail
2:15,uface 1
2:16,uinterface
2:17,uclick out
next pic 9,next pic 9
2:18,pface 1
2:18:30,pface 2
2:19,pdetail (person 3)
2:19:30,pcaption
2:28,pinterface
2:29,pdetail (person 3)
2:30,pface 1
2:32,pdetail (person 4)
2:33,pface 1
2:34,pface 2
2:35,pclick out
next pic 10,next pic 10
2:36,udetail
2:37,ucaption
2:39,udetail
2:39:30,udetail
2:40,udetail
2:40:30,ubackground
2:41,uinterface
2:42,uclick out
next pic 11,next pic 11
2:45,udetail words
2:45:30,ucaption
2:51,udetail (person 1)
2:53,uinterface
2:55,udetail (person 2)
2:56,uclick out
next pic 12,next pic 12
2:58,udetail
2:59,ucaption
3:02,udtail (person 1)
3:03,ucaption
3:05,udetail (person 2)
3:06,uinterface
3:09,udetail (person 3)
3:10,uinterface
3:14,uclick out
next pic 13,next pic 13
3:15,pface 1
3:16,pcaption
