onset time,description,
4:09,pinterface,
4:09:30,pface 2,
4:10,pinterface,
4:11,pclick out,
next pic 26,next pic 26,
4:12,pface 1,
4:13,pface 2,
4:14,pcaption,
4:16,pface 1,
4:17,pcaption,
4:18,pface 2,
4:19,pface 1,
4:20,pdetail (person 3),
4:20:30,pface 1,
4:21:30,pinterface,
4:23,pclick out,
next pic 27,next pic 27,
4:24,pface 1,
4:24:30,pface 2,
4:25,pdetail words,
4:25:30,pface 1,
4:26,pdetail (person 3),
4:27,pface 2,
4:27:30,pinterface,
4:29,pclick out,
next pic 28,next pic 28,
4:30,ubackground,
4:30:30,uinterface,
4:31,ubackground,
4:32,uinterface,
4:34,ubackground,
3:35,uinterface,
4:37,ubackground,
4:37:30,uclick out,
next pic 29,next pic 29,
4:38,pface 1,
4:39,pface 2,
4:39:30,pdetail (person 3),
4:40,pinterface,
4:40:30,pface 1,
4:41,pinterface,
4:42,pclick out,
next pic 30,next pic 30,
4:43,uface 1,
4:43:30,udetail (person 12),
4:44,ucaption,
4:45,uface 1,
4:46,ucaption,
4:48,udetail (person 2),
4:48:30,udetail (person 1),
4:49,face 2),
4:49:30,uinterface,
4:51,uclick out,
next pic 31,next pic 31,
4:52,pface 1,
4:54,pinterface,
4:55,pdetail (person 2),
4:55:30,pface 1,
4:57,pface 2,
4:57:30,pclick out,
next pic 32,next pic 32,
4:58,uface 1),
4:58:30,udetail (person 1),
4:59,ucaption,
5:00,udetail (person 1),
5:01,uinterface,
5:01:30,udetail (person 1),
5:02,uface 1,
5:03,udetail words,
5:04,udetail words,
5:05,udetail words,
5:07,uinterface,
5:10,uclick out,
next pic 33,next pic 33,
5:11,pface 1,
5:12,pcaption,
5:22:30,pdetail (person 1),
5:24,pdetail,
5:24:30,pface 1,
5:25,pdetail,
5:26,pinterface,
5:27,pface 1,
5:28:30,pclick out,
,,
next pic 34,next pic 34,
5:29,udetail (person 1),
5:30,ubackground,
5:30:30,uinterface,
5:31,udetail (person 1),
5:32,uinterface,
5:33,uclick out,
next pic 35,next pic 35,
5:34,pface 1,
5:35,pdetail (person 1),
5:35:30,pinterface,
5:36,pdetail (person 1),
5:36:30,pface 1,
5:37,pdetail (person 1),
5:38,pdetail (person 1),
5:39,pclick out,
next pic 26,next pic 36,
5:40,udetail (person 1),
5:40:30,uface 1,
5:41,udetail,
5:41:30,udetail (person 2),
4:42,udetail (person 1),
5:42,uinterface,
5:44,udetail,
5:45,udetail (person 3),
5:46,uinterface,
5:47,uclick out,
next pic 37,next pic 37,
5:47,uface 1,
5:48,uface 2,
5:48:30,udetail words,this means they are reading something in the photo
5:49,udetail words,
5:50,uface 1,
5:50:30,uface 2,
5:51,uface 1,
5:51:30,uinterface,
5:55,uclick out,
next pic 38,next pic 38,
5:56,pface 1,
5:56,pface 2,
5:57,pface 1,
5:57:30,pcaption,
6:04,pdetail (person 1),
6:06,pdetail (person 2),
6:07:30,pinterface,
6:08,pcaption,
6:08:30,pface 1,
6:09,pdetail (person 1),
6:10,pdetail (person 2),
6:10:30,pdetail,
6:11,pdetail (person 2),
6:11:30,pdetail (person 1),
6:13,pface 1,
6:13:30,pinterface,
6:14,pface 2,
6:15,pface 1,
6:16,pinterface,
6:17,pclick out,
next pic 39,next pic 39,
6:18,uface 1,
6:19,uinterface,
6:22,pclick out,
next pic 40,next pic 40,
6:23,pface 1,
6:23,pdetail (person 1),
6:24,pface 1,
6:25,pinterface,
6:26:00,pface 1,
6:27,pinterface,
6:27:30,pdetail (person 1),
6:28,pinterface,
6:28:30,pface 1,
6:28,pclick out,
next pic 41,next pic 41,
6:29,udetail,
6:31,uinterface,
6:34,udetail,
6:36:30,udetail,
6:30,uinterface,
6:38,uclick out,
next pic 42,next pic 42,
6:40,pdetail (person 1),
6:40:30,pdetail (person 1),
6:41,pdetail (person 1),
6:43,pinterface,
6:45,pclick out,
next pic 43,next pic 43,
6:46,udetail,
6:46:30,udetail words,
6:48,udetail,
6:48:30,udetail words,
6:49,ucaption,
6:55,udetail,
6:56,udetail words,
6:58,udetail,
6:59,udetail,
7:00,ubackground,
7:00:30,uinterface,
7:01,udetail,
7:02,ubackground,
7:03,uinterface,
7:05,uclick out,
next pic 44,next pic 44,
7:07,pface 1,
7:07:30,pdetail (person 2),
7:08,pdetail (person 1),
7:09,pface 1,
7:10,pinterface,
7:10:30,pdetail words,
7:11,pface 1,
7:11:30,pdetail (person 1),
7:12,pinterface,
7:12:30,pdetail (person 1),
7:13,pface 1,
7:13:30,pinterface,
7:14,pclick out,
next pic 45,next pic 45,
