onset time,description
next pic 1,next pic 1
0:13,pface 1
0:14,pdetail (person 1)
0:15,pdetail (person 2)
0:16,pdetail (person 1)
0:17,pface 1
0:18,pdetail (person 1)
0:19,pdetail (person 3)
0:19:30,pdetail (person 1)
0:20,pface 1
0:21,pface 3
0:21:30,pface 1
0:22,pface 3
0:23,pdetail (person 1)
0:24,pcaption
0:25,pface 1
0:25:30,pdetail (person 1)
0:26,pdetail (person 3)
0:27,pdetail (person 1)
0:28,pdetail (person 1)
0:30,pcaption
0:39,pface 1
0:39:30,pcaption
0:40,pdetail (person 3)
0:41,pdetail (person 1)
0:41:30,pdetail (person 3)
0:42,pcaption
0:43,pinterface
0:44,pdetail (person 1)
0:45,pcaption
0:50,pclick out
next pic 2,next pic 2
0:51,pface 1
0:51:30,pdetail (person 2)
0:52,pdetail
0:52:30,pdetail
0:53,pdetail
0:53:30,pdetail
0:54,pdetail words
0:55,pdetail (person 1)
0:56,pcaption
1:03,pface 2
1:02:30,pdetail
1:03,pdetail
1:04,pdetail
1:04:30,pcaption
1:05,pinterface
1:07,pclick out
next pic 3,next pic 3
1:08,pdetail (person 1)
1:09,pdetail (person 2)
1:09:30,pface 1
1:10,pdetail (person 1)
1:11,pcaption
1:15,pface 1
1:15:30,pdetail (person 2)
1:16,pface 1
1:17,pcaption
1:19,pinterface
1:20,pclick out
next pic 4,next pic 4
1:21,uface 1
1:22,uface 2
1:23,ucaption
1:26,uinterface
1:27,uclick out
next pic 5,next pic 5
1:28,pdetail words
1:29,pcaption
1:34,pface 1
1:34:30,pdetail (person 2)
1:35,pface 1
1:35:30,pdetail (person 1)
1:36,pdetail (person 1)
1:37,pdetail (person 1)
1:38,pdetail words
1:38:30,pdetail (person 2)
1:39,pinterface
1:40,pcaption
1:42,pclick out
next pic 6,next pic 6 (didn't load)
next pic 7,next pic 7
1:47,pface 1
1:47:30,pface 2
1:48,pdetail (person 1)
1:48:30,pcaption
1:54,pdetail (person 2)
1:54:30,pface 2
1:55,pface 1
1:56,pface 2
1:56:30,pcaption
1:57,pface 1
1:57:30,pface 2
1:58,pdetail (person 1)
1:59,pface 3
1:59:30,pcaption
2:00,pface 1
2:00:30,pface 2
2:01,pface 1
2:01:30,pdetail (person 1)
2:02,pface 1
2:02:30,pinterface
2:03,pclick out
next pic 8,next pic 8
2:04,uface 1
2:04:30,ucaption
2:07,uface 1
2:07:30,udetail
2:08,uface 1
2:08,udetail
2:09,ubackground
2:10,uface 1
2:11,udetail
2:12,ucaption
2:13,udetail
2:13:30,uinterface
2:14,uface 1
2:14:30,udetail
2:15,uinterface
2:17,uclick out
next pic 9,next pic 9
2:18,pface 1
2:19,pface 2
2:20,pface 1
2:21,pcaption
2:25,pface 2
2:26:30,pdetail (person 3)
2:27,pface 3
2:27:30,pdetail (person 4)
2:28,pface 3
2:28:30,pdetail (person 3)
2:29,pface 1
2:30,pcaption
2:31,pinterface
2:32,pface 1
2:33,pdetail (person 4)
2:35,pclick out
next pic 10,next pic 10
2:36,udetail
2:36:30,ucaption
2:38,udetail
2:39,udetail
2:40,udetail
2:41,udetail
2:41:30,ubackground
2:42,uinterface
2:48,uclick out
next pic 11,next pic 11
2:49,uface 1
2:50,ucaption
2:53,udetail words
2:53:30,ubackground
2:54,uface 1
2:54:30,uinterface
2:59,uclick out
next pic 12,next pic 12
3:00,uface 1
3:01:00,ucaption
3:04,udetail words
3:05,udetail person 2)
3:05:30,uinterface
3:08,uclick out
next pic 13,next pic 13
3:09,pface 1
3:10,pcaption
3:15,pface 1
3:15:30,pdetail (person 1)
3:16,pdetail (person 2)
3:17,pface 1
3:18,pinterface
3:19,pdetail (person 2)
3:19:30,pface 1
3:20,pinterface
3:21,pface 1
3:22,pdetail (person 1)
3:23,pface 1
3:24,pinterface
3:25:00,pclick out
next pic 14,next pic 14
3:26,pdetail
3:27,pdetail (person 1)
3:27:30,pdetail (person 1)
3:28,pcaption
3:34,pdetail (person 1)
3:35,pdetail (person 1)
3:36,pbackground
3:37,pdetail
3:37:30,pdetail (person 1)
3:38,pinterface
3:39,pdetail (person 1)
3:40,pdetail
3:41,pinterface
3:44,pclick out
next pic 15,next pic 15
3:45,udetail
3:45,udetail (person 1)
3:46,ucaption
3:49,uinterface
3:50,udetail (words)
3:51,uinterface
3:52,uclick out
next pic 16,next pic 16 (didn't load)
4:01,udetail
4:02,ucaption
4:06,udetail
4:07,udetail
4:08,udetail
4:08:30,udetail
4:09,uinterface
4:14,uclick out
next pic 18,next pic 18
4:16,uface 1
4:17,uface 2
4:18:00,uface 3
4:19,udetail words
4:19:30,uinterface
4:21,uclick out
next pic 19,next pic 19
4:23,pface 1
4:24,pdetail (person 1)
4:24:30,pdetail
4:26,pface 1
4:26:30,pdetail (person 1)
4:27,pdetail (person 1)
4:28,pface 1
4:29,pcaption
4:32,pface 1
4:32:30,pdetail
4:34,pinterface
4:35,pdetail
4:35,pface 1
4:36,pdetail (person 1)
4:37,pdetail
4:38,pdetail
4:39,pinterface
4:39:30,pface 1
4:40,pdetail (person 1)
4:41,pdetail
4:41:30,pdetail (person 1)
4:42,pinterface
4:43,pclick out
next pic 20,next pic 20
4:44,uface 1
4:44:30,ucaption
4:45,uinterface
4:46,uface 1
4:47,uinterface
4:48,uclick out
next pic 21,next pic 21
4:50,pface 1
4:51,pcaption
4:52,pface 1
4:53,pdetail
4:53:30,pdetail
4:54,pcaption
4:56,pface 1
4:57,pdetail
4:57:30,pdetail (person 1)
4:58,pface 1
4:59,pinterface
5:00,pdetail (person 1)
5:00:30,pface 1
5:01,pdetail (person 1)
5:02,pinterface
5:03,pface 1
5:03:30,pclick out
next pic 22,next pic 22
5:04:30,udetail
5:05,udetail
5:05:30,ucaption
5:12,udetail
5:12:30,uface 1
5:13,udetail (person 2)
5:14,udetail
5:15,udetail
5:15:30,uinterface
5:17,udetail
5:18,uinterface
5:20,udetail
5:20:30,uinterface
5:21,uclick out
next pic 23,next pic 23
5:22,pdetail
5:23,pface 1
5:23:30,pdetail
5:24,pcaption
5:30,pinterface
5:30:30,pdetail
5:31,pdetail
5:32,pface 2
5:33,pdetail (person 3)
5:34,pinterface
5:34:30,pface 1
5:35,pclick out
next pic 24,next pic 24
5:36,udetail (person 1)
5:36:30,ucaption
5:37,udetail words
5:38,uface 1
5:39,udetail
5:39:30,uinterface
5:42,uclick out
next pic 25,next pic 25
5:43,uface 1
5:44,udetail
5:44:30,ucaption
5:47:30,uface 1
5:48,udetail
5:49,uface 1
5:50,uinterface
5:55,uclick out
next pic 26,next pic 26
5:56,pface 1
5:57,pface 2
5:57:30,pface 1
5:58,pface 2
5:59,pcaption
6:01,pface 2
6:02,pface 1
6:02:30,pdetail
6:03,pface 2
6:04,pdetail
6:04:30,pdetail
6:05,pinterface
6:06,pcaption
6:06:30,pface 1
6:07,pinterface
6:08,pface 1
6:08,pinterface
6:10,pclick out
next pic 27,next pic 27
6:11,pface 1
6:12,pface 2
6:12:30,pdetail words
6:13,pface 1
6:14,pcaption
6:16,pface 1
6:17,pface 3
6:18,pface 1
6:19,pdetail words
6:20,pface 3
6:20:30,pface 2
6:21,pdetail words
6:21:30,pface 1
6:22,pcaption
6:23,pface 1
6:24,pcaption
6:25,pinterface
6:26,pface 1
6:26:30,pface 2
6:27,pinterface
6:28,pdetail (person 2)
6:29,pinterface
6:31,pclick out
next pic 28,next pic 28
6:32,udetail
6:32:30,ucaption
6:33,udetail
6:33:30,udetail
6:34,udetail
6:34:30,udetail
6:35,udetail
6:36,uinterface
6:38,uclick out
next pic 29,next pic 29
6:39,pface 1
6:40,pdetail (person 2)
6:40:30,pface 1
6:41,pface 2
6:42,pcaption
6:45,pdetail (person 1)
6:45:30,pface 1
6:46,pdetail (person 2)
6:47,pface 1
6:48,pdetail (person 2)
6:49,pinterface
6:50,pface 1
6:50:30,pinterface
6:51,pclick out
next pic 30,next pic 30
6:52,udetail
6:52:30,ucaption
6:54,udetail
6:55,udetail (person 2)
6:55:30,uinterface
6:57,uclick out
next pic 31,next pic 31
6:58,pface 1
6:59,pdetail
6:59:30,pface 1
7:00,pdetail
7:01,pcaption
7:05,pbackground
7:06,pdetail (person 2)
7:06:30,pdetail
7:07,pbackground
7:08,pdetail
7:09,pdetail (person 2)
7:10,pinterface
7:12,pdetail
7:13,pclick out
next pic 32,next pic 32
7:14,udetail words
7:14:30,udetail words
7:15,ucaption
7:15:30,uinterface
7:16,udetail words
7:16:30,uinterface
7:19,uclick out
next pic 33,next pic 33
7:20,pface 1
7:20:30,pdetail (person 1)
7:21,pcaption
7:27,pface 1
7:27:30,pdetail
7:28:00,pdetail
7:29,pdetail
7:30,pdetail (person 1)
7:30:30,pface 1
7:31,pdetail
7:32,pdetail (person 1)
7:33,pface 1
7:34,pdetail (person 1)
7:35,pface 1
7:35:30,pdetail (person 1)
7:36,pinterface
7:38,pclick out
next pic 34,next pic 34
7:40,ucaption
7:41,uface 1
7:41:30,udetail
7:42,uinterface
7:44,uclick out
next pic 35,next pic 35
7:45,pface 1
7:45:30,pdetail words
7:46,pcaption
7:48,pface 1
7:49,pdetail words
7:50,pdetail (person 2)
7:50:30,pdetail (person 2)
7:51,pdetail (person 3)
7:51:30,pface 1
7:52,pdetail (person 1)
7:53,pinterface
7:55,pface 1
7:56,pbackground
7:57,pinterface
7:57:30,pclick out
next pic 36,next pic 36
7:58,uface 1
7:59:00,uface 2
8:00,ucaption
8:03,uface 3
8:03:30,uface 4
8:04,uinterface
8:04:30,uface 5
8:05,uinterface
8:07,udetail (person 5)
8:08,uclick out
next pic 37,next pic 37
8:09,uface 1
8:09:30,uface 2
8:10,ucaption
8:12,uinterface
8:12:30,uface 1
8:13,uface 2
8:13:30,uface 1
8:14,uinterface
8:16,uclick out
next pic 38,next pic 38
8:17,pface 1
8:17:30,pface 2
8:18,pcaption
