onset time,description
0:15,pface 1
0:16,pdetail (person 2)
0:17,pface 1
0:17:30,pface (person 3)
0:18,pdetail (person 4)
0:19,pdetail
0:19:30,pface 1
0:20,pface 3
0:21,pdetail (person 2)
0:22,pface 3
0:22:30,pface 4
0:23,pface 1
0:23:30,pdetail (words)
0:24,pface 3
0:25,pdetail (words)
0:26,pdetail
0:27,pinterface
0:28,pdetail (person 2)
0:28:30,pface 1
0:29,pinterface
0:30,pdetail (person 1)
0:31,pdetail (person 1)
0:32,pdetail (person 2)
0:33,pinterface
0:33:30,pcaption
0:39,pinterface
0:42,pface 1
0:43,pinterface
0:44,pface 1
0:45,pinterface
0:47,pface 1
0:48,pinterface
0:50,pdetail (person 2)
0:51,pinterface
0:52,pdetail (person 2)
0:53,pface 1
0:54,pinterface
0:58,pface 1
0:59,pinterface
1:00,pdetail (words)
1:01,pface 
1:02,pinterface
1:06,pface 1
1:07,pclick out
next pic 2,next pic 2
1:08,pface 1
1:08:30,pface 2
1:09,pdetail (person 1)
1:10,pdetail
1:10:30,pcaption
1:21,pdetail
1:22,pface 2
1:23,pface 1
1:23:30,pface 2
1:24,pdetail
1:24:30,pdetail
1:25,pface 2
1:26,pdetail
1:27,pdetail
1:28,pface 1
1:29,pdetail (person 1)
1:29:30,pface 1
1:30, pdetail
1:31,pinterface
1:36,pdetail
1:37,pface 2
1:38,pclick out
next pic 3,next pic 3
1:39,pface 1
1:40,pdetail (person 2)
1:41,pface 1
1:42,pdetail (person 1)
1:43,pcaption
1:44,pdetail (person 2)
1:45,pcaption
1:49,pface 1
1:50,pinterface
1:52,pdetail (person 2)
1:53,pinterface
1:57,pface 1
1:58,pinterface
1:59,pface 1
2:00,pdetail (person 2)
2:01,pclick out
next pic 4,next pic 4
2:03,uface 1
2:03:30,uinterface
2:04,ucaption
2:05,uface 2
2:06,udetail (person 2)
2:06:30,udetail (person 3)
2:07,uface 3
2:07:30,uface 4
2:08,uface 5
2:09,uinterface
2:11,udetail (person 2)
2:12,udetail
2:14,uface 3
2:14:30,uinterface
2:19,uclick out
next pic 5,next pic 5
2:20,pface 1
2:22,pdetail (person 1)
2:23,pdetail (person 2)
2:24,pcaption
2:24:30,pinterface
2:25,pcaption
2:32,pface 1
2:33,pdetail (words)
2:34,pinterface
2:34,pdetail (person 2)
2:35,pface 1
2:36,pinterface
2:36:30,pface 1
2:37,pdetail (person 2)
2:38,pdetail (person 2)
2:39,pface 1
2:40,pdetail (words)
2:40:30,pinterface
2:41,pdetail (person 2)
2:42,pdetail (person 2)
2:43,pinterface
2:44,pdetail (person 1)
2:44:30,pclick out
next pic 6,next pic 6 (didn't load)
next pic 7,next pic 7
2:55,pface 1
2:56,pface 2
2:56:30,pdetail (person 1)
2:57,pface 1
2:58,pcaption
3:04,pinterface
3:05,pcaption
3:06,pface 2
3:07,pface 1
3:08,pdetail (person 3)
3:09,pface 1
3:09:30,pface 2
3:10,pinterface
3:11,pdetail (person 2)
3:11:30,pface 2
3:12,pface 1
3:14,pdetail (person 3)
3:15,pinterface
3:18,pclick out
next pic 8,next pic 8
3:19,uface 1
3:19,ucaption
3:21,uface 1
3:22,uinterface
3:22:30,udetail
3:23,uinterface
3:24,udetail
3:25,uface 1
3:27,udetail
3:28,uinterface
3:32,uclick out
next pic 9,next pic 9
3:33,pface 1
