one,pro,face,0:13.0
one,pro,face,0:15.0
one,pro,face,0:16.0
one,pro,face,0:16.3
one,pro,caption,0:15.0
one,pro,body,0:16.0
one,pro,detail,0:16.0
one,pro,detail,0:17.0
one,pro,face,0:18.0
one,pro,caption,0:19.0
one,pro,face,0:19.0
one,pro,face,0:20.0
one,pro,caption,0:21.0
one,pro,detail,0:21.0
one,pro,face,0:22.0
one,pro,face,0:23.0
one,pro,face,0:24.0
one,pro,face,0:24.0
one,pro,face,0:25.0
one,pro,face,0:29.0
one,pro,face,0:29.0
one,pro,body,0:30.0
one,pro,face,0:31.0
one,pro,face,0:31.0
one,pro,face,0:32.0
two,pro,unknown,0:55.0
two,pro,face,0:55.0
two,pro,face,0:56.0
two,pro,detail,0:56.0
two,pro,face,0:57.0
two,pro,face,0:57.0
two,pro,caption,0:58.0
two,pro,face,0:59.0
two,pro,caption,0:59.0
two,pro,face,1:07.0
two,pro,caption,1:07.0
two,pro,face,1:12.0
two,pro,caption,1:12.3
two,pro,face,1:13.0
two,pro,face,1:13.3
two,pro,body,1:14.0
two,pro,face,1:15.0
two,pro,unknown,1:15.3
two,pro,detail,1:16.0
two,pro,unknown,1:17.0
two,pro,detail,1:17.3
two,pro,detail,1:18.0
three,pro,face,1:19.0
three,pro,face,1:19.3
three,pro,body,1:20.0
three,pro,face,1:21.0
three,pro,caption,1:22.0
three,pro,body,1:24.0
three,pro,face,1:24.3
three,pro,caption,1:25.0
three,pro,face,1:26.0
three,pro,caption,1:27.0
three,pro,face,1:27.3
three,pro,caption,1:28.0
three,pro,face,1:30.0
three,pro,body,1:30.3
three,pro,face,1:31.0
three,pro,body,1:31.3
four,ugc,unknown,1:33.0
four,ugc,face,1:34.0
four,ugc,face,1:34.3
four,ugc,caption,1:35.0
four,ugc,face,1:35.3
four,ugc,face,1:36.0
four,ugc,face,1:36.3
four,ugc,face,1:37.0
four,ugc,unknown,1:37.3
four,ugc,face,1:38.0
four,ugc,face,1:38.3
four,ugc,caption,1:39.0
four,ugc,face,1:39.3
four,ugc,caption,1:40.0
four,ugc,face,1:41.0
four,ugc,face,1:41.3
four,ugc,face,1:42.0
four,ugc,face,1:42.3
four,ugc,caption,1:43.0
four,ugc,face,1:43.3
five,pro,unknown,1:44.0
five,pro,caption,1:45.0
five,pro,body,1:51.0
five,pro,face,1:52.0
five,pro,caption,1:53.0
five,pro,body,1:54.0
six,ugc,unknown,1:54.3
six,ugc,unknown,1:55.0
six,ugc,unknown,1:55.0
six,ugc,caption,1:56.0
six,ugc,face,1:56.3
six,ugc,face,1:57.0
six,ugc,caption,1:58.0
six,ugc,unknown,1:59.0
six,ugc,caption,1:59.3
seven,pro,body,2:07.0
seven,pro,face,2:08.0
seven,pro,caption,2:08.3
seven,pro,face,2:09.0
seven,pro,face,2:09.3
seven,pro,caption,2:10.0
